見出し,見出し（説明）,分類,分類（説明）,日時,場所,対象,定員,費用,申込,問い合わせ,申込・問い合わせ,案内配布,受験資格,願書配布,URL1,URL2,Eメール1,Eメール2
難病患者就職サポーター出張相談会,,,,毎月第1火曜(1)13:30～14:30(2)14:45～15:45,県難病・子ども保健相談支援センター（和歌山市）,難病のある方、家族、事業主など,各回2組（先着順）,,,,電話、ファックスで住所、氏名、電話番号、参加人数、相談内容を各回5日前までに会場 電話073-445-0520　ファックス073-445-0603,,,,http://www.pref.wakayama.lg.jp/prefg/041200/050300/kodomo/info1.html#sapotasyutyo,,,
高次脳機能障害講演会,テーマ：高次脳機能障害の理解と支援 講師：田島文博氏（県立医大リハビリテーション医学講座教授）,,,3月18日（日）13:30～15:30,県民文化会館（和歌山市）,当事者とその家族、教育・保健・医療・福祉関係者など,80人（先着順）,,,電話、ファックス、Eメールで住所、氏名、電話番号を3月14日までに県子ども・女性・障害者相談センター電話073-445-7314　ファックス073-446-0036,,,,,http://www.pref.wakayama.lg.jp/prefg/040402/kojino/symposium.html,,e0404025@pref.wakayama.lg.jp,
世界自閉症啓発デー・発達障害啓発週間記念講演会,テーマ：教育における合理的配慮について講師：宮崎英憲氏（東洋大学名誉教授）,,,4月8日（日）13:30～15:45,プラザホープ（和歌山市）,,250人（先着順）,,ファックス、Eメールで住所、氏名、電話番号、所属を県自閉症協会ファックス0739-25-3823,県庁障害福祉課,,,,,http://www.pref.wakayama.lg.jp/prefg/040400/,,ohkubo@vm.aikis.or.jp,
いのちの電話相談員養成講座,自殺・孤立予防を目的とした電話相談員を養成,,,5月12日～11月17日の土曜月2回 13:30～16:30,和歌山市中央コミュニティセンター（予定）,原則23～70歳の方,,"28,000円（申込金・受講料）",,,郵送、電話、ファックス、Eメール、インターネットで住所、氏名、電話番号を5月9日までに和歌山いのちの電話協会 〒640-8137和歌山市吹上5-2-15電話073-425-3261　ファックス073-425-3267,,,,https://www.w-inochi.com/,,w-inochi@agate.plala.or.jp,
紀の国いきいき健康長寿祭,今年11月の「全国健康福祉祭とやま大会」出場選手選考を兼ねて実施,スポーツ交流大会,種目：グラウンド・ゴルフ,[1]4月13日（金）[2]25日（水）いずれも10:00～17:00,[1]紀の川市打田若もの広場[2]南山スポーツ公園（日高川町）,県内在住で昭和34年4月1日以前生まれのアマチュアの方,各400人,,,,郵送、ファックスで所定の申込書（問合先で配布）を[1]3月19日[2]4月2日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階 電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
紀の国いきいき健康長寿祭,今年11月の「全国健康福祉祭とやま大会」出場選手選考を兼ねて実施,シルバー囲碁・将棋・健康マージャン交流大会,種目：[1]囲碁[2]将棋[3]健康マージャン,[1]4月17日(火)[2]18日（水）[3]6月20日（水）,和歌山ビッグ愛（和歌山市）,県内在住で昭和34年4月1日以前生まれのアマチュアの方 （前年の全国健康福祉祭あきた大会に参加した選手は、同一種目での参加は不可）,[1][2]各64人[3]60人（先着順）,,,,郵送、ファックスで所定の申込書（問合先で配布）を[1][2]3月29[3]5月31日までに県社会福祉協議会いきいき長寿社会センター〒640-8545和歌山市手平2-1-2 和歌山ビッグ愛7階 電話073-435-5214　ファックス073-435-5221,,,,http://www.wakayamakenshakyo.or.jp/,,,
リレー・フォー・ライフ・ジャパン2018わかやま,がん征圧をめざし、がん患者や家族・支援者などがグラウンドを24時間交代で歩くチャリティーイベント,,,4月14日（土）12:00～15日（日）13:00,和歌山公園砂の丸広場（和歌山市）,,,,,実行委員会 電話070-1340-2178,,,,,http://relayforlife.jp/,,,
福祉・介護・保育の就職フェアわかやま,,,,3月14日（水）13:00～16:00,和歌山県JAビル（和歌山市）,,,,,県福祉人材センターハートワーク 電話073-435-5211,,,,,http://www.wakayamakenshakyo.or.jp/,,,
いきいきシニアリーダーカレッジ受講生,高齢者への日常的な支え合い活動など、地域活動をリードする人材を養成,,,5月～平成31年2月（月1・2回）,(1)和歌山市(2)田辺市(3)橋本市,おおむね60歳以上の方など,(1)70人(2)90人(3)100人（抽選）,"(1)2,000円(2)(3)1,000円（受講料）",,,申込方法など詳しくは各問合先へ(1)県社会福祉協議会 電話073-435-5214 (2)田辺市社会福祉協議会 電話0739-24-8329 (3)橋本市社会福祉協議会 電話0736-33-0294,,,,http://www.wakayamakenshakyo.or.jp/,,,
発達障害児・者巡回相談,発達障害の理解や子育て・福祉制度などの相談,,,(1)4月19日・5月17日・6月21日・7月19日の木曜(2)4月20日・5月18日・6月15日・7月20日の金曜 (3)4月12日・6月14日の木曜(4)5月10日・7月12日の木曜いずれも11:00～16:00,(1)橋本保健所(2)御坊保健所(3)新宮保健所(4)新宮保健所串本支所,,,,,,郵送、電話、ファックス、Eメールで住所、氏名、電話番号を希望日2週間前までに県発達障害者支援センターポラリス 〒641-0044和歌山市今福3-5-41愛徳医療福祉センター内 電話073-413-3200 ファックス073-413-3020,,,,,,polaris@jtw.zaq.ne.jp,
